Blog	times	together	better	photos	word	add	house	point	came	using	business	either	done	else	over	site	help	page	needs	their	story	personal	again	report	getting	happy	u	take	will	minutes	recently	watch	three	service	give	build	call	big	hope	app	into	how	read	way	man	worked	around	group	million	second	won	kind	pretty	ways	president	future	still	play	itself	both	live	does	user	example	got	post	everyone	ago	same	home	amp	show	change	others	make	go	only	has	companies	android	also	write	say	start	love	mean	people	based	he	words	fast	system	taking	though	case	all	works	questions	created	ask	comes	day	youtube	any	american	looking	found	never	really	made	across	z	email	learn	few	talk	control	next	me	see	security	lot	right	interesting	money	did	series	months	left	york	likely	social	tips	book	twitter	four	via	wants	available	don	tool	myself	off	once	need	website	public	writing	photo	always	place	car	hand	been	human	less	posted	shot	during	blog	having	said	hard	head	reason	days	ve	called	small	back	tell	rather	very	told	try	gets	problem	dead	someone	find	data	up	each	outside	features	check	now	technology	idea	means	five	run	every	open	your	product	special	such	own	network	review	year	do	years	high	away	possible	face	while	share	line	thought	morning	bad	several	part	popular	facebook	little	company	why	original	state	after	tv	happens	easy	doing	ever	remember	information	view	value	video	they	reading	takes	until	since	known	recent	had	friday	working	apple	yes	nbsp	want	lead	google	free	making	set	far	x	continue	content	short	yet	support	keep	weekend	instead	com	team	close	most	took	look	within	building	didn	its	readers	enough	smart	already	amazon	latest	who	thing	full	links	night	design	going	think	co	week	later	am	interview	david	when	great	stop	use	says	yesterday	which	move	number	work	level	d	then	things	ll	down	wrong	two	health	update	or	please	art	month	tech	might	water	top	self	stuff	first	order	web	internet	fact	know	april	our	users	another	spend	long	asked	here	today	question	nothing	music	create	so	friends	too	these	let	posts	name	started	yourself	apps	phone	past	would	stories	visit	everything	should	seen	whole	there	old	through	probably	come	good	turn	often	where	anything	important	course	us	news	link	white	him	deal	if	his	center	because	even	were	above	without	sure	major	get	click	project	bit	actually	digital	used	other	anyone	tools	anti	something	become	may	than	least	time	almost	research	being	key	list	doesn	sometimes	version	she	out	no	program	m	favorite	feel	before	person	obama	success	issue	family	send	wrote	end	note	re	maybe	aren	following	media	trying	world	some	single	under	her	well	them	isn	community	different	city	text	put	mark	store	online	real	images	k	makes	against	best	last	seems	between	whether	much	wasn	could	went	game	search	those	th	black	life	many
Pharyngula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
plasticbag.org	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	1	6	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	3	1	0	0	0	0	1	1	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	6	0	3	5	1	0	0	0	0	0	1	0	1	0	0	0	0	3	0	2	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	5	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	6	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	3	0	0	0	0	0	0	1	2
Topix Blog	1	1	1	0	0	0	2	2	0	1	1	0	0	0	1	2	0	0	0	3	0	0	1	1	0	3	1	2	0	0	1	0	2	0	0	1	0	1	0	0	0	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	4	0	0	0	1	0	0	1	0	3	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	2	2	1	0	0	0	0	0	3	0	0	1	1	0	0	3	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	1	0	0	0	0	21	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5	2	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	3	1	0	0	0	1	0	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1
Kotaku	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	4	2	0	4	0	0	0	0	2	1	0	0	1	0	25	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	1	0	0	1	0	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	1	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	3	0	0	1	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	4	3	0	3	0	0	0	0	0	1	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	1	1	1	0	1	2	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	2	1	0	4	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	4	1	0	0	2	0	4	0	0	6	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	0	0	6	0	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	5	1	1	1	0	1	4	9	0	1	0	0	0	0	1	1	3	0	0	0	0	1	0	0	1	0	0	1	0	3	2	1	0	0	0	0	2	2	0	1	1	0	0	5	1	0	0	0	0	1	2	0	0	2	1	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	2	1	0	1	0	2	2	0	1	1	0	1	0	0	0	0	0	2	0	1	0	3	0	2	2	0	0	0	1	0	0	0	2	4	0	5	1	0	0	0	0	2	2	0	1	0	0	0	6	2	0	1	0	2	0	2	0	10	0	0	0	1	0	1
@ProBlogger	0	0	2	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	3	0	0	0	0	2	0	0	1	3	1	1	0	0	0	0	2	0	1	1	0	0	14	2	4	0	0	3	0	0	0	0	0	0	4	0	0	1	0	0	1	1	2	0	0	1	10	1	0	0	1	0	0	3	2	12	0	4	2	0	0	0	6	2	0	7	0	7	0	2	3	0	0	0	0	0	5	0	1	0	0	1	3	0	0	0	0	1	2	1	1	0	0	1	0	2	0	0	3	4	0	0	1	3	0	7	0	0	0	0	0	0	6	26	1	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	3	1	0	0	0	0	36	0	0	1	0	1	0	7	0	0	2	0	0	1	1	0	0	0	0	0	3	0	9	2	0	0	0	0	0	3	0	0	0	0	2	25	0	0	0	1	0	0	3	7	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	4	0	1	2	0	1	0	0	2	0	2	0	1	0	3	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	2	1	0	0	0	0	3	0	2	0	0	0	3	0	1	0	1	0	0	0	2	0	1	1	1	0	1	0	1	5	0	5	0	0	2	0	2	0	3	0	0	0	0	2	1	2	2	0	1	1	0	1	1	3	2	1	1	2	0	0	0	0	1	4	0	0	1	0	2	0	2	0	0	4	1	2	0	0	3	0	1	0	0	0	2	2	1	1	2	0	0	0	5	0	3	0	0	5	0	2	0	0	0	0	1	1	0	1	6	0	0	9	0	0	0	2	2	0	5	2	1	1	2	1	0	0	0	0	0	11	0	0	1	3	0	0	0	0	0	4	0	0	0	0	0	2	3	0	0	0	1	0	0	4	2	4	0	0	0	0	1	2	1	0	0	1	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	4	1	1	2	7	0	4	1	0	1	0	0	2	0	0	2	0	0	1	0	0	5	4	2	1	2	0	0	0	0	1	0	4	0	2	2	0	0	2	0	0	0	4
Lifehacker	0	1	2	2	0	1	0	1	0	1	0	0	2	0	1	1	1	3	0	2	0	2	1	0	1	0	0	1	1	0	0	0	1	1	1	4	0	0	0	1	6	9	25	2	0	0	1	0	0	1	0	0	1	0	0	0	0	3	0	0	1	1	0	1	0	0	2	1	2	7	0	0	0	0	4	0	1	0	0	1	2	0	0	3	1	0	2	1	0	0	0	0	1	0	2	8	0	1	0	1	0	0	0	4	0	1	1	0	1	0	0	0	0	1	0	0	0	0	2	2	1	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	3	1	0	0	0	1	1	2	0	0	0	3	0	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	4	0	1	0	0	0	2	1	0	4	0	0	0	2	0	0	0	0	2	1	1	2	34	0	0	0	4	0	0	0	3	1	0	0	0	0	2	1	0	0	0	2	0	1	0	0	5	0	2	0	0	0	0	0	4	0	0	0	0	0	0	4	5	1	1	0	1	1	1	0	0	0	1	0	0	2	0	3	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	1	1	1	0	1	0	2	2	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	5	2	0	2	0	1	1	2	1	0	0	2	1	2	3	0	0	1	0	0	8	0	0	0	0	1	0	3	5	0	0	2	1	0	0	2	0	0	0	0	2	0	0	6	3	0	0	0	1	2	0	0	1	0	0	0	0	2	1	2	0	1	0	0	1	5	1	2	0	0	0	1	0	0	3	1	1	0	2	0	1	0	0	0	0	1	8	0	0	0	0	2	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	2	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	1	0	1	3	0	0	2	5	1	3	0	0	0	1	0	0	0	0	2	5	1	0	0	0	0	1	0	2	0	0	0	0	2	0	10	0	0	1	3	0	0	1	0	0	1	1	0	0	1	2
SpikedHumor - Today's Videos and Pictures	1	1	0	2	1	1	2	0	0	4	0	0	1	1	0	1	0	1	0	3	0	1	1	1	0	1	3	1	5	0	0	102	0	0	0	0	1	1	1	3	2	5	0	2	4	0	4	1	1	6	0	0	0	0	0	2	2	3	0	0	2	2	0	0	1	3	2	2	0	0	0	5	1	0	2	2	0	8	0	0	3	0	1	0	1	1	3	0	7	1	0	1	0	0	0	14	0	1	0	0	0	1	5	2	3	0	2	1	1	0	1	4	0	0	1	2	0	0	5	4	2	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	2	3	2	1	3	1	0	0	0	0	4	0	3	2	0	5	2	0	0	1	3	0	2	2	5	2	1	0	2	1	0	0	0	0	2	3	3	1	0	0	13	0	0	0	0	0	0	0	1	0	0	3	0	6	0	3	1	0	1	0	0	2	2	0	1	0	4	3	1	0	0	1	0	1	7	0	0	1	0	4	0	0	3	2	0	0	0	3	0	0	1	0	15	0	0	4	1	1	1	0	5	0	0	5	0	0	1	0	1	1	3	4	1	1	0	0	0	0	1	2	0	0	6	1	0	2	0	5	0	0	0	7	0	0	0	0	0	0	3	0	2	0	1	0	0	2	0	0	0	2	0	0	4	1	0	0	1	0	0	1	0	2	0	1	2	1	0	3	0	0	0	0	3	2	0	0	0	2	2	2	0	0	2	1	0	0	1	4	0	1	0	3	0	2	0	102	0	0	0	2	0	2	0	2	1	2	0	0	1	0	1	2	0	2	1	0	1	1	0	1	1	2	0	2	0	2	0	0	0	0	0	0	2	2	0	1	1	3	1	9	0	3	5	0	0	0	0	2	4	0	2	1	1	0	0	2	0	0	2	2	0	1	1	0	4	0	0	1	1	1	1	0	0	3	1	1	0	1	0	3	2	1	3	0	0	2	0	0	3	0	2	2	0	1	0	0	1	9	1	1	0	0	3	0	0	0	2	0	3	0	1	0	4	0	0	1	0	6	4	0	2	0	0	0	1	2	1	1	2	1	2	2	2
Copyblogger	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	2	3	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	8	11	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	12	1	0	0	0	0	1	1	1	0	0	2	2	0	0	2	1	0	1	0	0	3	0	3	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	9	1	0	0	1	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	1	0	5	1	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	12	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	5	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	2	1	1	0	3	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	2	1	0	0	2	1
ThinkProgress	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	3	0	1	0	0	4	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	6	0	0	0	0	0	4	0	0	3	1	0	1	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	1	6	0	0	0	2	0	0	1	0	0	3	0	0	3	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	4	0	0	4	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	3	0	0	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	3	1	0	0	0	0	0	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	4	2	0	3	0	0	2	0	0	1	0	0	1	4	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	5	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Little Green Footballs	5	0	1	0	2	0	2	0	0	0	0	0	1	0	3	0	1	1	0	4	2	1	4	0	2	0	1	3	3	0	2	1	0	0	0	0	0	1	0	0	3	0	0	1	7	1	2	1	1	0	1	0	0	0	4	1	0	0	0	0	7	1	0	0	3	1	0	2	1	0	0	5	0	0	3	1	4	1	0	1	1	0	1	0	0	0	4	0	11	0	0	0	0	0	1	6	0	0	0	0	2	2	9	1	4	1	1	0	2	4	0	0	0	0	0	1	0	0	4	2	0	1	8	2	0	0	3	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	1	1	0	1	0	0	3	0	1	2	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	1	0	3	3	2	3	1	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	2	0	0	0	1	0	1	1	0	0	7	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	4	0	0	0	1	1	0	0	0	1	0	0	0	1	1	2	0	0	0	0	2	0	0	1	2	0	10	0	0	0	2	0	0	3	0	1	0	0	0	4	5	2	1	2	4	2	5	0	0	0	0	1	0	1	0	2	3	1	2	0	2	0	1	1	0	0	0	0	0	0	5	0	0	2	0	1	3	3	0	0	0	3	1	3	2	0	0	1	0	4	0	1	2	0	0	1	1	2	0	0	0	0	1	0	0	1	0	0	3	1	0	1	1	2	0	0	0	1	0	2	1	1	1	2	3	8	1	4	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	8	0	0	3	2	0	4	1	3	2	0	0	2	0	1	3	3	0	1	0	1	0	0	0	11	0	4	1	0	0	1	0	0	0	0	0	5	5	1	3	0	2	3	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	1	0	0	3	1	1	0	1
